HbEID;DOC_TYPE;Fachbereich;Gebiet;Unternehmen;Kostenstelle;Ergebniseinheit;Konto;Unterkonto;Wirtschaftsjahr;Veroffentlichungsdatum;Veroffentlichungszeit;Wahrung;Wechselkurs;DBCR_INDICATOR;Soll;Haben;Endbetrag;Transaktionsherkunft;Wirksamkeitsdatum;Wirkungszeitraum;Buchungstext;Kontenname;Storno-Indikator;Storno-Datum;Storno-Uhrzeit;Nutzer;Erstellungsdatum;Erstellungsuhrzeit;Manuelle/automatische Buchung;Geändert von;Genehmigt von;Genehmigungsdatum;Gelöscht-Markierung;Posten-Nummer;Batch Date
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;671,09;0;671,09;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 6;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;303,97;0;303,97;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 7;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;110,53;0;110,53;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 8;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;1942,22;0;1942,22;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 9;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I14;P;1;100;1;1;1;133978;1000;2017;28.06.2017;11:45:00;EUR;1;;0;438,62;-438,62;GL;28.06.2017;6;Umkehrung Überlieferungen für Projekte;0381045, ADDCLIENTVOIP QTY50;B;;00:00:00;Jsmith;27.06.2017;11:45:00;Manual;;;;;401582-1;28.06.2017
N012999W01;P;1;100;1;1;1;599068;1000;2017;03.06.2017;13:15:00;EUR;1;;0;222,94;-222,94;GL;02.06.2017;6;Gewährleistung Minderung - Juni 2;2000WIRELESS;N;;00:00:00;Dlous;02.06.2017;13:15:00;Manual;;;;;401557-1;03.06.2017
N012999I14;P;1;100;1;1;1;133978;1000;2017;28.06.2017;11:45:00;EUR;1;;0;4473,95;-4473,95;GL;28.06.2017;6;Umkehrung Überlieferungen für Projekte;200256, UPGRADE_IPX QTY2;B;;00:00:00;Jsmith;27.06.2017;11:45:00;Manual;;;;;401582-1;28.06.2017
N012999I14;P;1;100;1;1;1;133978;1000;2017;28.06.2017;11:45:00;EUR;1;;0;1346,13;-1346,13;GL;28.06.2017;6;Umkehrung Überlieferungen für Projekte;200259, UPGRADE_IPX QTY1;B;;00:00:00;Jsmith;27.06.2017;11:45:00;Manual;;;;;401582-1;28.06.2017
N012999I14;P;1;100;1;1;1;133978;1000;2017;28.06.2017;11:45:00;EUR;1;;0;3026,49;-3026,49;GL;28.06.2017;6;Umkehrung Überlieferungen für Projekte;200263, UPGRADE_IPX QTY1;B;;00:00:00;Jsmith;27.06.2017;11:45:00;Manual;;;;;401582-1;28.06.2017
N012999S13;P;1;100;1;1;1;252978;1000;2017;22.06.2017;11:45:00;EUR;1;;0;3085,49;-3085,49;GL;22.06.2017;6; Juli Voice MNT Umsatz;20319*07;B;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
N012999S13;P;1;100;1;1;1;401668;1000;2017;22.06.2017;11:45:00;EUR;1;;3085,49;0;3085,49;GL;22.06.2017;6; Juli Voice MNT Umsatz;20319*07;B;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
Y012999S13;P;1;100;1;1;1;252978;1000;2017;03.06.2017;07:45:00;EUR;1;;3085,49;0;3085,49;GL;01.06.2017;6;Rückstellung für Voice MNT Umsatz;20319*07;R;;00:00:00;Tsting;02.06.2017;07:45:00;Manual;;;;;401557-1;03.06.2017
Y012999S13;P;1;100;1;1;1;401668;1000;2017;03.06.2017;07:45:00;EUR;1;;0;3085,49;-3085,49;GL;01.06.2017;6;Rückstellung für Voice MNT Umsatz;20319*07;R;;00:00:00;Tsting;02.06.2017;07:45:00;Manual;;;;;401557-1;03.06.2017
N012999S03;P;1;100;1;1;1;501678;1000;2017;22.06.2017;11:45:00;EUR;1;;2020,51;0;2020,51;GL;22.06.2017;6;Vorausbezahlte Zulieferer Minderung;20535*06;N;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
N012999S03;P;1;100;1;1;1;501678;1000;2017;22.06.2017;11:45:00;EUR;1;;1129,96;0;1129,96;GL;22.06.2017;6;Vorausbezahlte Zulieferer Minderung;20535*06;N;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
N012999S03;P;1;100;1;1;1;501678;1000;2017;22.06.2017;11:45:00;EUR;1;;1352;0;1352;GL;22.06.2017;6;Vorausbezahlte Zulieferer Minderung;20704*07;N;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
N012999S13;P;1;100;1;1;1;252978;1000;2017;22.06.2017;11:45:00;EUR;1;;0;250129,01;-250129,01;GL;22.06.2017;6; Juli Voice MNT Umsatz;20761*13;B;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
N012999S13;P;1;100;1;1;1;401668;1000;2017;22.06.2017;11:45:00;EUR;1;;250129,01;0;250129,01;GL;22.06.2017;6; Juli Voice MNT Umsatz;20761*13;B;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
Y012999S13;P;1;100;1;1;1;252978;1000;2017;03.06.2017;07:45:00;EUR;1;;250129,01;0;250129,01;GL;01.06.2017;6;Rückstellung für Voice MNT Umsatz;20761*13;R;;00:00:00;Tsting;02.06.2017;07:45:00;Manual;;;;;401557-1;03.06.2017
Y012999S13;P;1;100;1;1;1;401668;1000;2017;03.06.2017;07:45:00;EUR;1;;0;250129,01;-250129,01;GL;01.06.2017;6;Rückstellung für Voice MNT Umsatz;20761*13;R;;00:00:00;Tsting;02.06.2017;07:45:00;Manual;;;;;401557-1;03.06.2017
N012999S03;P;1;100;1;1;1;501678;1000;2017;22.06.2017;11:45:00;EUR;1;;352,73;0;352,73;GL;22.06.2017;6;Vorausbezahlte Zulieferer Minderung;20910*07;N;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
N012999S13;P;1;100;1;1;1;252978;1000;2017;22.06.2017;11:45:00;EUR;1;;0;4101,12;-4101,12;GL;22.06.2017;6; Juli Voice MNT Umsatz;20994*07;B;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
N012999S13;P;1;100;1;1;1;401668;1000;2017;22.06.2017;11:45:00;EUR;1;;4101,12;0;4101,12;GL;22.06.2017;6; Juli Voice MNT Umsatz;20994*07;B;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
Y012999S13;P;1;100;1;1;1;252978;1000;2017;03.06.2017;07:45:00;EUR;1;;4101,12;0;4101,12;GL;01.06.2017;6;Rückstellung für Voice MNT Umsatz;20994*07;R;;00:00:00;Tsting;02.06.2017;07:45:00;Manual;;;;;401557-1;03.06.2017
Y012999S13;P;1;100;1;1;1;401668;1000;2017;03.06.2017;07:45:00;EUR;1;;0;4101,12;-4101,12;GL;01.06.2017;6;Rückstellung für Voice MNT Umsatz;20994*07;R;;00:00:00;Tsting;02.06.2017;07:45:00;Manual;;;;;401557-1;03.06.2017
N012999I02;P;1;100;1;1;1;133978;1000;2017;10.06.2017;20:15:00;EUR;1;;7895,2;0;7895,2;GL;10.06.2017;6;Umkehrung PPV von Projekte für;210248, ADDNEAX2400;N;;00:00:00;Jsmith;09.06.2017;20:15:00;Manual;;;;;401564-1;10.06.2017
N012999S13;P;1;100;1;1;1;252978;1000;2017;22.06.2017;11:45:00;EUR;1;;0;27202,86;-27202,86;GL;22.06.2017;6; Juli Voice MNT Umsatz;21031*07;B;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
N012999S13;P;1;100;1;1;1;401668;1000;2017;22.06.2017;11:45:00;EUR;1;;27202,86;0;27202,86;GL;22.06.2017;6; Juli Voice MNT Umsatz;21031*07;B;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
Y012999S13;P;1;100;1;1;1;252978;1000;2017;03.06.2017;07:45:00;EUR;1;;27202,86;0;27202,86;GL;01.06.2017;6;Rückstellung für Voice MNT Umsatz;21031*07;R;;00:00:00;Tsting;02.06.2017;07:45:00;Manual;;;;;401557-1;03.06.2017
Y012999S13;P;1;100;1;1;1;401668;1000;2017;03.06.2017;07:45:00;EUR;1;;0;27202,86;-27202,86;GL;01.06.2017;6;Rückstellung für Voice MNT Umsatz;21031*07;R;;00:00:00;Tsting;02.06.2017;07:45:00;Manual;;;;;401557-1;03.06.2017
N012999I02;P;1;100;1;1;1;133978;1000;2017;10.06.2017;20:15:00;EUR;1;;35536,29;0;35536,29;GL;10.06.2017;6;Umkehrung PPV von Projekte für;210322, ADDNEAX2400;N;;00:00:00;Jsmith;09.06.2017;20:15:00;Manual;;;;;401564-1;10.06.2017
N012999I02;P;1;100;1;1;1;133978;1000;2017;10.06.2017;20:15:00;EUR;1;;6579,33;0;6579,33;GL;10.06.2017;6;Umkehrung PPV von Projekte für;210352, ADDNEAX2400;N;;00:00:00;Jsmith;09.06.2017;20:15:00;Manual;;;;;401564-1;10.06.2017
N012999I08;P;1;100;1;1;1;221278;1000;2017;20.06.2017;11:45:00;EUR;1;;2255,78;0;2255,78;GL;20.06.2017;6;PPV Rückstellung für BNS0004596;210388;N;;00:00:00;Jsmith;19.06.2017;11:45:00;Manual;;;;;401574-1;20.06.2017
N012999I08;P;1;100;1;1;1;133978;1000;2017;20.06.2017;11:45:00;EUR;1;;0;2255,78;-2255,78;GL;20.06.2017;6;PPV Rückstellung für BNS0004596;210388, UPGRADE_SW;N;;00:00:00;Jsmith;19.06.2017;11:45:00;Manual;;;;;401574-1;20.06.2017
N012999S13;P;1;100;1;1;1;252978;1000;2017;22.06.2017;11:45:00;EUR;1;;0;86264,06;-86264,06;GL;22.06.2017;6; Juli Voice MNT Umsatz;21538*07;B;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
N012999S13;P;1;100;1;1;1;401668;1000;2017;22.06.2017;11:45:00;EUR;1;;86264,06;0;86264,06;GL;22.06.2017;6; Juli Voice MNT Umsatz;21538*07;B;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
Y012999S13;P;1;100;1;1;1;252978;1000;2017;03.06.2017;07:45:00;EUR;1;;86264,06;0;86264,06;GL;01.06.2017;6;Rückstellung für Voice MNT Umsatz;21538*07;R;;00:00:00;Tsting;02.06.2017;07:45:00;Manual;;;;;401557-1;03.06.2017
Y012999S13;P;1;100;1;1;1;401668;1000;2017;03.06.2017;07:45:00;EUR;1;;0;86264,06;-86264,06;GL;01.06.2017;6;Rückstellung für Voice MNT Umsatz;21538*07;R;;00:00:00;Tsting;02.06.2017;07:45:00;Manual;;;;;401557-1;03.06.2017
N012999S03;P;1;100;1;1;1;501678;1000;2017;22.06.2017;11:45:00;EUR;1;;1787,75;0;1787,75;GL;22.06.2017;6;Vorausbezahlte Zulieferer Minderung;22159R*05;N;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
N012999S03;P;1;100;1;1;1;501678;1000;2017;22.06.2017;11:45:00;EUR;1;;2763,32;0;2763,32;GL;22.06.2017;6;Vorausbezahlte Zulieferer Minderung;22159R1*05;N;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
N012999S03;P;1;100;1;1;1;501678;1000;2017;22.06.2017;11:45:00;EUR;1;;2946,08;0;2946,08;GL;22.06.2017;6;Vorausbezahlte Zulieferer Minderung;22829*07;N;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
N012999S03;P;1;100;1;1;1;501678;1000;2017;22.06.2017;11:45:00;EUR;1;;2424,61;0;2424,61;GL;22.06.2017;6;Vorausbezahlte Zulieferer Minderung;22973*07;N;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
N012999S03;P;1;100;1;1;1;501678;1000;2017;22.06.2017;11:45:00;EUR;1;;4051,16;0;4051,16;GL;22.06.2017;6;Vorausbezahlte Zulieferer Minderung;22991*07;N;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
Y012999S13;P;1;100;1;1;1;252978;1000;2017;03.06.2017;07:45:00;EUR;1;;37863,42;0;37863,42;GL;01.06.2017;6;Rückstellung für Voice MNT Umsatz;23039*06;R;;00:00:00;Tsting;02.06.2017;07:45:00;Manual;;;;;401557-1;03.06.2017
Y012999S13;P;1;100;1;1;1;401668;1000;2017;03.06.2017;07:45:00;EUR;1;;0;37863,42;-37863,42;GL;01.06.2017;6;Rückstellung für Voice MNT Umsatz;23039*06;R;;00:00:00;Tsting;02.06.2017;07:45:00;Manual;;;;;401557-1;03.06.2017
Y012999S13;P;1;100;1;1;1;252978;1000;2017;03.06.2017;07:45:00;EUR;1;;3806,56;0;3806,56;GL;01.06.2017;6;Rückstellung für Voice MNT Umsatz;23044*06;R;;00:00:00;Tsting;02.06.2017;07:45:00;Manual;;;;;401557-1;03.06.2017
Y012999S13;P;1;100;1;1;1;401668;1000;2017;03.06.2017;07:45:00;EUR;1;;0;3806,56;-3806,56;GL;01.06.2017;6;Rückstellung für Voice MNT Umsatz;23044*06;R;;00:00:00;Tsting;02.06.2017;07:45:00;Manual;;;;;401557-1;03.06.2017
N012999S03;P;1;100;1;1;1;501678;1000;2017;22.06.2017;11:45:00;EUR;1;;104,95;0;104,95;GL;22.06.2017;6;Vorausbezahlte Zulieferer Minderung;23096*04;N;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
N012999S03;P;1;100;1;1;1;501678;1000;2017;22.06.2017;11:45:00;EUR;1;;929,61;0;929,61;GL;22.06.2017;6;Vorausbezahlte Zulieferer Minderung;23111*10;N;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
N012999S03;P;1;100;1;1;1;501678;1000;2017;22.06.2017;11:45:00;EUR;1;;3201,94;0;3201,94;GL;22.06.2017;6;Vorausbezahlte Zulieferer Minderung;23111*13;N;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
N012999S03;P;1;100;1;1;1;501678;1000;2017;22.06.2017;11:45:00;EUR;1;;2802,31;0;2802,31;GL;22.06.2017;6;Vorausbezahlte Zulieferer Minderung;23111*13;N;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
N012999S03;P;1;100;1;1;1;501678;1000;2017;22.06.2017;11:45:00;EUR;1;;779,77;0;779,77;GL;22.06.2017;6;Vorausbezahlte Zulieferer Minderung;23111*13;N;;00:00:00;Tsting;21.06.2017;11:45:00;Manual;;;;;401576-1;22.06.2017
